date,nifty,vix,ml,fii_dii,options_status,snapshot_available,spot
2026-01-23,True,True,True,False,OK,True,25048.65
2026-01-27,True,True,True,False,OK,True,25175.4
2026-01-28,True,True,True,False,OK,True,25342.75
2026-01-29,True,True,True,False,OK,True,25418.9
2026-01-30,True,True,True,False,OK,True,25320.65
2026-02-02,True,True,True,False,OK,True,25088.4
2026-02-03,True,True,True,False,OK,True,25727.55
2026-02-04,True,True,True,False,OK,True,25776.0
2026-02-05,True,True,True,False,OK,True,25642.8
2026-02-06,True,True,True,False,OK,True,25693.7
2026-02-09,True,True,True,False,OK,True,25867.3
2026-02-10,True,True,True,False,OK,True,25935.15
2026-02-11,True,True,True,False,OK,True,25953.85
2026-02-12,True,True,True,False,OK,True,25807.2
2026-02-13,True,True,True,False,OK,True,25471.1
2026-02-16,True,True,True,False,OK,True,25682.75
2026-02-17,True,True,True,False,OK,True,25725.4
2026-02-18,True,True,True,False,OK,True,25819.35
2026-02-19,True,True,True,False,OK,True,25454.35
2026-02-20,True,True,True,False,OK,True,25571.25
2026-02-23,True,True,True,False,OK,True,25713.0
2026-02-24,True,True,True,False,OK,True,25424.65
2026-02-25,True,True,True,False,OK,True,25482.5
2026-02-26,True,True,True,False,OK,True,25496.55
2026-02-27,True,True,True,False,OK,True,25178.65
2026-03-02,True,True,True,False,OK,True,24865.7
2026-03-04,True,True,True,False,OK,True,24480.5
2026-03-05,True,True,True,False,OK,True,24765.9
2026-03-06,True,True,True,False,OK,True,24450.45
2026-03-09,True,True,True,False,OK,True,24028.05
2026-03-10,True,True,True,False,OK,True,24261.6
2026-03-11,True,True,True,False,OK,True,23866.85
2026-03-12,True,True,True,False,OK,True,23639.15
2026-03-13,True,True,True,False,OK,True,23151.1
2026-03-16,True,True,True,False,OK,True,23408.8
2026-03-17,True,True,True,False,OK,True,23581.15
2026-03-18,True,True,True,False,OK,True,23777.8
2026-03-19,True,True,True,False,OK,True,23002.15
2026-03-20,True,True,True,False,OK,True,23114.5
2026-03-23,True,True,True,False,OK,True,22512.65
2026-03-24,True,True,True,False,OK,True,22912.4
2026-03-25,True,True,True,False,OK,True,23306.45
2026-03-27,True,True,True,False,OK,True,22819.6
2026-03-30,True,True,True,False,OK,True,22331.4
2026-04-01,True,True,True,False,OK,True,22679.4
2026-04-02,True,True,True,False,OK,True,22713.1
2026-04-06,True,True,True,False,OK,True,22968.25
2026-04-07,True,True,True,False,OK,True,23123.65
2026-04-08,True,True,True,False,OK,True,23997.35
2026-04-09,True,True,True,False,OK,True,23775.1
2026-04-10,True,True,True,False,OK,True,24050.6
2026-04-13,True,True,True,False,OK,True,23842.65
2026-04-15,True,True,True,False,OK,True,24231.3
2026-04-16,True,True,True,False,OK,True,24196.75
2026-04-17,True,True,True,False,OK,True,24353.55
2026-04-20,True,True,True,False,OK,True,24364.85
2026-04-21,True,True,True,False,OK,True,24576.6
2026-04-22,True,True,True,False,OK,True,24378.1
2026-04-23,True,True,True,False,OK,True,24173.05
2026-04-24,True,True,True,False,OK,True,23897.95
2026-04-27,True,True,True,False,OK,True,24092.7
2026-04-28,True,True,True,False,OK,True,23995.7
2026-04-29,True,True,True,False,OK,True,24177.65
2026-04-30,True,True,True,False,OK,True,23997.55
2026-05-04,True,True,True,False,OK,True,24119.3
2026-05-05,True,True,True,False,OK,True,24032.8
2026-05-06,True,True,True,False,OK,True,24330.95
2026-05-07,True,True,True,False,OK,True,24326.65
2026-05-08,True,True,True,False,OK,True,24176.15
2026-05-11,True,True,True,False,OK,True,23815.85
2026-05-12,True,True,True,False,OK,True,23379.55
2026-05-13,True,True,True,False,OK,True,23412.6
2026-05-14,True,True,True,False,OK,True,23689.6
2026-05-15,True,True,True,False,OK,True,23643.5
2026-05-18,True,True,True,False,OK,True,23649.95
2026-05-19,True,True,True,True,OK,True,23618.0
2026-05-20,True,True,True,True,OK,True,23659.0
2026-05-21,True,True,True,True,OK,True,23654.7
2026-05-22,True,True,True,True,OK,True,23719.3
2026-05-25,True,True,True,True,OK,True,24031.7
2026-05-26,True,True,True,True,OK,True,23913.7
2026-05-27,True,True,True,True,OK,True,23907.15
2026-05-29,True,True,True,True,OK,True,23547.75
2026-06-01,True,True,True,True,OK,True,23382.6
2026-06-02,True,True,True,True,OK,True,23483.55
2026-06-03,True,True,True,True,OK,True,23405.6
2026-06-04,True,True,True,True,OK,True,23416.55
2026-06-05,True,True,True,True,OK,True,23366.7
2026-06-08,True,True,True,True,OK,True,23123.0
2026-06-09,True,True,True,True,OK,True,23242.1
2026-06-10,True,True,True,True,OK,True,23214.95
2026-06-11,True,True,True,True,OK,True,23161.6
2026-06-12,True,True,True,True,OK,True,23622.9
2026-06-15,True,True,True,True,OK,True,23853.9
2026-06-16,True,True,True,True,OK,True,23989.15
2026-06-17,True,True,True,True,OK,True,24085.7
2026-06-18,True,True,True,True,OK,True,24168.0
2026-06-19,True,True,True,True,OK,True,24013.1
2026-06-22,True,True,True,True,OK,True,24102.9
2026-06-23,True,True,True,True,OK,True,23824.1
2026-06-24,True,True,True,True,OK,True,24021.65
2026-06-25,True,True,True,True,OK,True,24056.0
2026-06-29,True,True,True,True,OK,True,23946.25
2026-06-30,True,True,True,True,OK,True,23865.75
2026-07-01,True,True,True,True,OK,True,24005.85
2026-07-02,True,True,True,True,OK,True,24175.7
2026-07-03,True,True,True,True,OK,True,24270.85
2026-07-06,True,True,True,True,OK,True,24430.35
2026-07-07,True,True,True,True,OK,True,24398.7
2026-07-08,True,True,True,True,OK,True,23882.05
2026-07-09,True,True,True,True,OK,True,23962.8
2026-07-10,True,True,True,True,OK,True,24206.9
2026-07-13,True,True,True,True,OK,True,24211.0
2026-07-14,True,True,True,True,OK,True,24052.05
2026-07-15,True,True,True,True,OK,True,24078.5
2026-07-16,True,True,True,True,OK,True,24072.75
2026-07-17,True,True,True,True,OK,True,24334.3
2026-07-20,True,True,True,True,OK,True,24238.5
2026-07-21,True,True,True,True,OK,True,24187.7
2026-07-22,True,True,True,True,OK,True,23996.25
2026-07-23,True,True,True,True,OK,True,23869.6
2026-07-24,True,True,True,True,OK,True,23767.45
2026-07-27,True,True,True,True,OK,True,23995.95
2026-07-28,True,True,True,True,OK,True,23985.35
2026-07-29,True,True,True,True,OK,True,24250.2
2026-07-30,True,True,True,True,OK,True,24317.15
2026-07-31,True,True,True,True,OK,True,24383.6
2026-08-03,True,True,True,True,OK,True,24774.3
2026-08-04,True,True,True,True,OK,True,24614.9
2026-08-05,True,True,True,True,OK,True,24624.65
2026-08-06,True,True,True,True,OK,True,24636.0
2026-08-07,True,True,True,True,OK,True,24570.65
2026-08-10,True,True,True,True,OK,True,24583.8
2026-08-11,False,True,False,True,OK,True,24471.7
2026-08-12,True,True,True,True,OK,True,24435.95
2026-08-13,True,True,True,False,OK,True,24395.85
