Strategy,Params,Hold,Trades,PnL,WinRate%,ProfitFactor,AvgRet%,MaxDD%,Sharpe,CAGR%
trend_sma,"{'fast': 5, 'slow': 50, 'adx_thresh': 20, 'use_adx': True}",5,34,-66593.66,32.4,0.78,-7.87,-136.17,-1.56,-48.96
trend_sma,"{'fast': 5, 'slow': 50, 'adx_thresh': 20, 'use_adx': True}",7,27,-100338.78,29.6,0.67,-14.94,-163.97,-2.34,0.0
trend_sma,"{'fast': 5, 'slow': 50, 'adx_thresh': 20, 'use_adx': True}",10,24,-117250.2,16.7,0.63,-19.67,-193.38,-2.31,0.0
trend_sma,"{'fast': 5, 'slow': 50, 'adx_thresh': 25, 'use_adx': True}",1,27,89531.91,59.3,2.25,13.32,-21.45,4.11,56.11
trend_sma,"{'fast': 5, 'slow': 50, 'adx_thresh': 25, 'use_adx': True}",2,24,-25224.47,33.3,0.85,-4.2,-80.61,-1.01,-18.33
trend_sma,"{'fast': 5, 'slow': 50, 'adx_thresh': 25, 'use_adx': True}",3,22,104309.92,45.5,1.74,19.06,-39.44,3.27,63.56
trend_sma,"{'fast': 5, 'slow': 50, 'adx_thresh': 25, 'use_adx': True}",5,17,-58019.78,29.4,0.64,-13.68,-113.52,-2.91,-44.87
trend_sma,"{'fast': 5, 'slow': 50, 'adx_thresh': 25, 'use_adx': True}",7,14,-22726.05,35.7,0.84,-6.54,-116.85,-0.97,-16.32
trend_sma,"{'fast': 5, 'slow': 50, 'adx_thresh': 25, 'use_adx': True}",10,13,-15229.94,30.8,0.89,-4.86,-102.74,-0.62,-10.6
trend_sma,"{'fast': 5, 'slow': 50, 'adx_thresh': 30, 'use_adx': True}",1,19,2997.0,52.6,1.05,0.66,-31.92,0.21,2.08
trend_sma,"{'fast': 5, 'slow': 50, 'adx_thresh': 30, 'use_adx': True}",2,16,-105620.29,25.0,0.19,-26.46,-108.78,-10.68,0.0
trend_sma,"{'fast': 5, 'slow': 50, 'adx_thresh': 30, 'use_adx': True}",3,15,-89183.58,20.0,0.28,-23.83,-89.87,-8.68,-78.51
trend_sma,"{'fast': 5, 'slow': 50, 'adx_thresh': 30, 'use_adx': True}",5,11,-64349.8,27.3,0.35,-23.47,-84.71,-6.6,-51.25
trend_sma,"{'fast': 5, 'slow': 50, 'adx_thresh': 30, 'use_adx': True}",7,10,-81621.56,30.0,0.31,-32.77,-88.83,-7.6,-68.72
trend_sma,"{'fast': 5, 'slow': 50, 'adx_thresh': 30, 'use_adx': True}",10,9,-23042.31,22.2,0.79,-10.47,-58.81,-1.41,-16.17
trend_sma,"{'fast': 10, 'slow': 30, 'adx_thresh': 0, 'use_adx': False}",1,92,-168806.73,35.9,0.62,-7.37,-162.95,-3.03,0.0
trend_sma,"{'fast': 10, 'slow': 30, 'adx_thresh': 0, 'use_adx': False}",2,72,-62545.2,37.5,0.83,-3.52,-68.78,-1.16,-44.43
trend_sma,"{'fast': 10, 'slow': 30, 'adx_thresh': 0, 'use_adx': False}",3,61,-34890.79,32.8,0.92,-2.33,-65.56,-0.53,-22.64
trend_sma,"{'fast': 10, 'slow': 30, 'adx_thresh': 0, 'use_adx': False}",5,47,-51391.07,40.4,0.87,-4.45,-66.66,-0.97,-35.06
trend_sma,"{'fast': 10, 'slow': 30, 'adx_thresh': 0, 'use_adx': False}",7,38,45121.59,31.6,1.14,4.72,-42.68,0.72,24.96
trend_sma,"{'fast': 10, 'slow': 30, 'adx_thresh': 0, 'use_adx': False}",10,31,-169165.26,25.8,0.61,-22.03,-150.45,-3.09,0.0
trend_sma,"{'fast': 10, 'slow': 30, 'adx_thresh': 20, 'use_adx': True}",1,53,23714.14,47.2,1.11,1.79,-57.34,0.6,15.08
trend_sma,"{'fast': 10, 'slow': 30, 'adx_thresh': 20, 'use_adx': True}",2,43,13055.62,37.2,1.05,1.25,-99.38,0.28,8.37
trend_sma,"{'fast': 10, 'slow': 30, 'adx_thresh': 20, 'use_adx': True}",3,36,-51919.32,38.9,0.76,-5.81,-64.26,-1.69,-38.01
trend_sma,"{'fast': 10, 'slow': 30, 'adx_thresh': 20, 'use_adx': True}",5,29,6416.58,44.8,1.03,0.85,-78.19,0.16,4.18
trend_sma,"{'fast': 10, 'slow': 30, 'adx_thresh': 20, 'use_adx': True}",7,23,27821.36,34.8,1.12,4.81,-77.42,0.63,17.42
trend_sma,"{'fast': 10, 'slow': 30, 'adx_thresh': 20, 'use_adx': True}",10,20,-67809.37,20.0,0.76,-13.67,-131.74,-1.43,-52.17
trend_sma,"{'fast': 10, 'slow': 30, 'adx_thresh': 25, 'use_adx': True}",1,26,104574.13,53.8,2.52,16.12,-18.16,4.7,68.27
trend_sma,"{'fast': 10, 'slow': 30, 'adx_thresh': 25, 'use_adx': True}",2,19,56324.53,42.1,1.66,11.92,-18.18,2.99,38.29
trend_sma,"{'fast': 10, 'slow': 30, 'adx_thresh': 25, 'use_adx': True}",3,18,40450.8,38.9,1.32,9.02,-46.0,1.55,27.89
trend_sma,"{'fast': 10, 'slow': 30, 'adx_thresh': 25, 'use_adx': True}",5,14,-8356.72,35.7,0.92,-2.5,-48.37,-0.58,-6.08
trend_sma,"{'fast': 10, 'slow': 30, 'adx_thresh': 25, 'use_adx': True}",7,12,-10072.4,33.3,0.92,-3.55,-76.99,-0.48,-7.32
trend_sma,"{'fast': 10, 'slow': 30, 'adx_thresh': 25, 'use_adx': True}",10,11,2748.73,27.3,1.02,0.84,-57.65,0.1,1.94
trend_sma,"{'fast': 10, 'slow': 30, 'adx_thresh': 30, 'use_adx': True}",1,15,20536.97,40.0,1.36,5.46,-24.17,1.69,15.86
trend_sma,"{'fast': 10, 'slow': 30, 'adx_thresh': 30, 'use_adx': True}",2,12,-863.48,41.7,0.99,-0.12,-44.14,-0.1,-0.68
trend_sma,"{'fast': 10, 'slow': 30, 'adx_thresh': 30, 'use_adx': True}",3,10,-67188.5,20.0,0.27,-26.96,-69.19,-9.13,-58.54
trend_sma,"{'fast': 10, 'slow': 30, 'adx_thresh': 30, 'use_adx': True}",5,8,846.89,62.5,1.01,0.41,-44.06,0.07,0.67
trend_sma,"{'fast': 10, 'slow': 30, 'adx_thresh': 30, 'use_adx': True}",7,7,-29402.73,42.9,0.66,-16.91,-50.57,-2.99,-23.87
trend_sma,"{'fast': 10, 'slow': 30, 'adx_thresh': 30, 'use_adx': True}",10,6,45512.17,33.3,1.61,30.43,-31.71,2.91,33.33
trend_sma,"{'fast': 10, 'slow': 50, 'adx_thresh': 0, 'use_adx': False}",1,94,-120823.02,36.2,0.72,-5.16,-114.68,-1.94,0.0
trend_sma,"{'fast': 10, 'slow': 50, 'adx_thresh': 0, 'use_adx': False}",2,77,54682.31,42.9,1.13,2.86,-48.93,0.72,28.05
trend_sma,"{'fast': 10, 'slow': 50, 'adx_thresh': 0, 'use_adx': False}",3,64,-6599.02,37.5,0.98,-0.43,-66.7,-0.13,-3.8
trend_sma,"{'fast': 10, 'slow': 50, 'adx_thresh': 0, 'use_adx': False}",5,46,-77149.25,32.6,0.8,-6.72,-101.24,-1.48,-56.74
trend_sma,"{'fast': 10, 'slow': 50, 'adx_thresh': 0, 'use_adx': False}",7,38,-124022.09,36.8,0.66,-13.14,-176.42,-2.29,0.0
trend_sma,"{'fast': 10, 'slow': 50, 'adx_thresh': 0, 'use_adx': False}",10,33,-52648.94,30.3,0.87,-6.46,-167.06,-0.8,-34.54
trend_sma,"{'fast': 10, 'slow': 50, 'adx_thresh': 20, 'use_adx': True}",1,56,28611.64,46.4,1.13,2.04,-58.38,0.71,16.94
trend_sma,"{'fast': 10, 'slow': 50, 'adx_thresh': 20, 'use_adx': True}",2,47,55882.81,44.7,1.25,4.82,-69.4,1.25,31.54
trend_sma,"{'fast': 10, 'slow': 50, 'adx_thresh': 20, 'use_adx': True}",3,39,-3767.35,51.3,0.98,-0.4,-52.67,-0.15,-2.34
trend_sma,"{'fast': 10, 'slow': 50, 'adx_thresh': 20, 'use_adx': True}",5,30,16830.57,40.0,1.07,2.24,-77.39,0.39,10.14
trend_sma,"{'fast': 10, 'slow': 50, 'adx_thresh': 20, 'use_adx': True}",7,24,-50990.37,33.3,0.8,-8.54,-148.32,-1.23,-35.58
trend_sma,"{'fast': 10, 'slow': 50, 'adx_thresh': 20, 'use_adx': True}",10,22,-62373.93,22.7,0.78,-11.42,-138.34,-1.27,-45.1
trend_sma,"{'fast': 10, 'slow': 50, 'adx_thresh': 25, 'use_adx': True}",1,28,84209.97,53.6,1.93,12.06,-36.21,3.47,53.29
trend_sma,"{'fast': 10, 'slow': 50, 'adx_thresh': 25, 'use_adx': True}",2,22,18726.48,50.0,1.15,3.47,-43.92,0.82,12.88
