date,open,high,low,close,volume
2025-11-25,3687.0,3695.800048828125,3653.0,3669.300048828125,1714176
2025-11-26,3681.0,3708.0,3669.300048828125,3686.39990234375,2116524
2025-11-27,3701.5,3717.60009765625,3665.0,3681.199951171875,1993274
2025-11-28,3692.0,3768.89990234375,3690.10009765625,3757.300048828125,2944457
2025-12-01,3790.0,3795.0,3730.0,3741.60009765625,1830158
2025-12-02,3722.800048828125,3748.0,3705.5,3716.5,2285922
2025-12-03,3736.0,3740.0,3640.0,3649.39990234375,2002476
2025-12-04,3675.0,3678.199951171875,3620.199951171875,3671.60009765625,1984001
2025-12-05,3659.300048828125,3721.5,3642.5,3717.10009765625,2393280
2025-12-08,3720.0,3725.0,3671.60009765625,3681.699951171875,1500195
2025-12-09,3658.0,3674.39990234375,3604.5,3635.89990234375,3901255
2025-12-10,3660.0,3694.89990234375,3626.199951171875,3630.0,1593915
2025-12-11,3623.39990234375,3669.10009765625,3615.89990234375,3665.199951171875,981456
2025-12-12,3665.39990234375,3695.0,3661.300048828125,3679.60009765625,1078982
2025-12-15,3632.0,3665.39990234375,3603.60009765625,3608.0,1704069
2025-12-16,3581.0,3633.5,3577.89990234375,3621.0,1394406
2025-12-17,3647.89990234375,3647.89990234375,3594.0,3612.800048828125,1209367
2025-12-18,3600.0,3611.89990234375,3540.10009765625,3586.60009765625,2446168
2025-12-19,3571.0,3615.0,3560.0,3603.60009765625,1647819
2025-12-22,3600.0,3625.0,3576.89990234375,3616.699951171875,1400786
2025-12-23,3619.199951171875,3637.5,3605.0,3625.10009765625,1413628
2025-12-24,3624.60009765625,3658.0,3612.10009765625,3636.699951171875,842897
2025-12-26,3636.699951171875,3647.0,3614.60009765625,3623.10009765625,829910
2025-12-29,3622.699951171875,3640.199951171875,3588.10009765625,3592.10009765625,1034692
2025-12-30,3590.0,3666.0,3575.199951171875,3660.300048828125,2063179
2025-12-31,3653.0,3723.60009765625,3640.39990234375,3709.199951171875,1868363
2026-01-01,3725.0,3774.0,3721.10009765625,3761.0,1498161
2026-01-02,3759.89990234375,3812.0,3743.199951171875,3802.39990234375,1478292
2026-01-05,3805.89990234375,3839.89990234375,3785.0,3790.300048828125,1574098
2026-01-06,3788.0,3819.10009765625,3758.10009765625,3785.60009765625,1299489
2026-01-07,3800.0,3808.60009765625,3718.5,3748.800048828125,1046776
2026-01-08,3730.0,3756.800048828125,3693.199951171875,3724.0,1261005
2026-01-09,3712.10009765625,3748.5,3667.10009765625,3677.300048828125,1235928
2026-01-12,3675.300048828125,3717.0,3598.800048828125,3682.0,1665237
2026-01-13,3717.0,3717.0,3631.5,3661.5,1700985
2026-01-14,3663.0,3682.0,3635.10009765625,3649.5,1573135
2026-01-15,3649.5,3649.5,3649.5,3649.5,0
2026-01-16,3650.10009765625,3729.89990234375,3650.10009765625,3658.199951171875,2089943
2026-01-19,3689.0,3689.0,3614.0,3657.39990234375,1715818
2026-01-20,3646.0,3677.5,3540.0,3557.5,1753439
2026-01-21,3543.0,3586.699951171875,3517.10009765625,3553.300048828125,1587467
2026-01-22,3600.0,3620.0,3533.39990234375,3573.699951171875,2107171
