date,open,high,low,close,volume
2026-01-06,3210.0,3263.199951171875,3205.0,3255.800048828125,2912325
2026-01-07,3242.89990234375,3300.60009765625,3223.199951171875,3295.60009765625,1989442
2026-01-08,3286.89990234375,3286.89990234375,3182.0,3203.89990234375,4159336
2026-01-09,3191.0,3229.699951171875,3191.0,3207.800048828125,1938673
2026-01-12,3203.0,3252.0,3174.300048828125,3239.60009765625,2228342
2026-01-13,3245.0,3280.0,3210.5,3268.0,5645341
2026-01-14,3260.0,3260.0,3183.0,3192.5,3539511
2026-01-15,3192.5,3192.5,3192.5,3192.5,0
2026-01-16,3219.39990234375,3221.89990234375,3171.0,3206.699951171875,4293470
2026-01-19,3188.0,3220.0,3152.10009765625,3163.60009765625,3387562
2026-01-20,3151.60009765625,3160.0,3091.10009765625,3102.300048828125,4499273
2026-01-21,3100.0,3138.5,3082.0,3122.60009765625,2015150
2026-01-22,3150.0,3160.0,3122.300048828125,3150.39990234375,2269827
2026-01-23,3190.300048828125,3194.5,3152.0,3162.5,2068857
2026-01-27,3175.0,3175.0,3130.0,3158.0,4279874
2026-01-28,3176.0,3205.199951171875,3170.60009765625,3200.10009765625,2751234
2026-01-29,3200.10009765625,3200.10009765625,3125.60009765625,3144.39990234375,2457641
2026-01-30,3141.0,3141.0,3092.0,3123.89990234375,3022068
2026-02-02,3198.0,3198.0,3134.0,3169.60009765625,2636272
2026-02-03,3350.0,3350.0,3186.300048828125,3225.300048828125,4366060
2026-02-04,3120.0,3120.0,2986.0,2999.10009765625,10852595
2026-02-05,2990.0,3029.699951171875,2972.300048828125,2991.5,3521545
2026-02-06,2976.60009765625,2985.0,2916.0,2941.60009765625,4687389
2026-02-09,2959.10009765625,2977.0,2937.5,2948.199951171875,2380318
2026-02-10,2949.800048828125,3011.60009765625,2943.5,2984.60009765625,3547763
2026-02-11,2980.0,2998.0,2904.199951171875,2909.800048828125,3363513
2026-02-12,2869.800048828125,2880.0,2740.0,2750.10009765625,10612156
2026-02-13,2585.0,2713.0,2585.0,2692.199951171875,11168735
2026-02-16,2700.0,2719.800048828125,2671.0,2706.60009765625,2918730
2026-02-17,2716.0,2760.0,2695.199951171875,2717.39990234375,4209118
2026-02-18,2730.0,2730.0,2657.300048828125,2694.89990234375,2950820
2026-02-19,2708.0,2748.699951171875,2666.60009765625,2677.89990234375,3238849
2026-02-20,2667.0,2702.60009765625,2647.5,2686.199951171875,2293482
2026-02-23,2686.0,2704.0,2660.199951171875,2676.300048828125,4699596
2026-02-24,2641.0,2647.5,2561.300048828125,2573.699951171875,7798833
2026-02-25,2596.0,2654.199951171875,2595.0,2629.300048828125,3621285
2026-02-26,2650.0,2671.0,2635.0,2647.699951171875,3464267
2026-02-27,2681.60009765625,2688.60009765625,2626.10009765625,2637.39990234375,5083717
2026-03-02,2592.0,2623.800048828125,2580.300048828125,2613.5,3374385
2026-03-04,2625.0,2635.0,2580.39990234375,2587.800048828125,3446434
2026-03-05,2600.0,2609.5,2546.39990234375,2578.800048828125,2960636
2026-03-06,2572.0,2619.199951171875,2553.60009765625,2557.60009765625,3998643
2026-03-09,2530.0,2560.0,2505.0,2527.39990234375,3653428
2026-03-10,2541.0,2545.199951171875,2490.10009765625,2513.10009765625,4323710
2026-03-11,2508.10009765625,2521.0,2460.10009765625,2464.89990234375,2720664
2026-03-12,2459.800048828125,2472.89990234375,2436.0,2442.39990234375,2752075
2026-03-13,2437.0,2445.89990234375,2397.0,2410.5,2466488
2026-03-16,2410.0,2425.0,2366.10009765625,2409.199951171875,3807907
2026-03-17,2420.0,2420.0,2360.0,2391.699951171875,2993367
2026-03-18,2410.0,2482.89990234375,2410.0,2440.800048828125,3082388
2026-03-19,2417.0,2424.0,2350.199951171875,2356.0,2757060
2026-03-20,2386.0,2407.800048828125,2364.199951171875,2390.60009765625,4206320
2026-03-23,2365.0,2406.800048828125,2348.0,2383.800048828125,3860515
2026-03-24,2404.10009765625,2435.39990234375,2379.10009765625,2398.800048828125,3420182
2026-03-25,2400.89990234375,2421.60009765625,2369.800048828125,2377.39990234375,5843778
2026-03-27,2403.89990234375,2422.10009765625,2385.0,2389.800048828125,4979411
2026-03-30,2375.10009765625,2398.0,2346.199951171875,2358.89990234375,6804756
2026-04-01,2429.0,2472.0,2397.89990234375,2408.199951171875,4132661
2026-04-02,2386.0,2469.89990234375,2375.699951171875,2450.699951171875,5378361
2026-04-06,2474.0,2482.0,2448.199951171875,2473.89990234375,2572417
2026-04-07,2461.0,2543.89990234375,2448.0,2539.800048828125,4516550
2026-04-08,2572.0,2580.300048828125,2540.10009765625,2559.199951171875,4769337
2026-04-09,2554.0,2605.0,2531.10009765625,2589.0,5628261
2026-04-10,2565.800048828125,2565.800048828125,2501.10009765625,2524.300048828125,10480239
2026-04-13,2489.89990234375,2504.89990234375,2470.0,2472.60009765625,3739587
2026-04-15,2501.89990234375,2559.0,2493.39990234375,2554.89990234375,5261384
2026-04-16,2572.0,2594.0,2558.0,2576.89990234375,3905403
2026-04-17,2570.0,2589.0,2555.89990234375,2581.5,2718206
2026-04-20,2587.10009765625,2594.0,2561.199951171875,2579.60009765625,2288558
2026-04-21,2560.0,2614.0,2560.0,2610.5,2719959
2026-04-22,2580.0,2580.0,2503.60009765625,2538.5,5232045
2026-04-23,2529.0,2559.5,2516.300048828125,2521.800048828125,2509050
2026-04-24,2488.0,2505.0,2388.800048828125,2396.89990234375,5107719
2026-04-27,2396.89990234375,2459.0,2396.89990234375,2447.60009765625,5853425
2026-04-28,2444.0,2487.0,2427.39990234375,2444.699951171875,4508363
2026-04-29,2451.0,2487.89990234375,2447.60009765625,2474.699951171875,2835961
2026-04-30,2479.0,2491.0,2438.0,2473.89990234375,3970446
2026-05-01,2473.89990234375,2473.89990234375,2473.89990234375,2473.89990234375,0
2026-05-04,2494.0,2498.300048828125,2425.0,2431.300048828125,2632358
2026-05-05,2430.0,2460.39990234375,2412.199951171875,2427.300048828125,3385720
2026-05-06,2441.89990234375,2471.0,2406.5,2435.39990234375,3147628
2026-05-07,2438.199951171875,2439.699951171875,2398.0,2401.39990234375,5829594
2026-05-08,2398.0,2407.0,2375.10009765625,2394.39990234375,3792199
2026-05-11,2371.0,2415.0,2371.0,2392.89990234375,1975188
2026-05-12,2375.0,2375.0,2283.0,2300.300048828125,6347884
2026-05-13,2306.0,2309.199951171875,2269.0,2272.800048828125,3171843
2026-05-14,2265.0,2265.0,2206.39990234375,2246.0,5633313
2026-05-15,2252.0,2304.89990234375,2252.0,2264.0,3410637
