date,open,high,low,close,volume
2025-11-21,739.7999877929688,739.8499755859375,721.2000122070312,725.3499755859375,3588983
2025-11-24,725.3499755859375,727.2999877929688,715.2999877929688,717.7000122070312,4800336
2025-11-25,718.2000122070312,726.0499877929688,715.25,721.2999877929688,2298762
2025-11-26,724.2999877929688,733.9000244140625,720.25,730.75,1965769
2025-11-27,732.0,734.0,723.5,725.4000244140625,1086614
2025-11-28,724.0,730.2000122070312,721.7000122070312,723.5999755859375,1444662
2025-12-01,727.0999755859375,728.9000244140625,709.7000122070312,712.5,2400147
2025-12-02,712.5,716.7000122070312,709.3499755859375,712.2000122070312,2424169
2025-12-03,714.4500122070312,715.6500244140625,705.9500122070312,708.0,1396559
2025-12-04,706.5999755859375,713.8499755859375,705.1500244140625,709.3499755859375,2869711
2025-12-05,708.0,725.25,707.1500244140625,719.75,2301587
2025-12-08,719.75,720.0499877929688,685.0499877929688,687.4500122070312,3505750
2025-12-09,684.5,699.0,679.5,690.0499877929688,3060901
2025-12-10,690.0499877929688,698.0,683.1500244140625,684.7999877929688,2350392
2025-12-11,685.0,695.7000122070312,680.1500244140625,693.6500244140625,1705673
2025-12-12,697.0,705.0,691.7000122070312,699.4000244140625,2447290
2025-12-15,695.0,698.7999877929688,690.2999877929688,697.9000244140625,1519781
2025-12-16,697.0,697.0,689.0,691.9500122070312,1299419
2025-12-17,690.0,691.9000244140625,680.0499877929688,683.0999755859375,1751896
2025-12-18,681.0999755859375,686.5,672.0,679.0499877929688,1597174
2025-12-19,679.2000122070312,694.6500244140625,679.2000122070312,691.2000122070312,1311420
2025-12-22,695.0,696.0,690.25,692.0499877929688,1007869
2025-12-23,692.0999755859375,699.0,688.3499755859375,694.25,1843580
2025-12-24,693.0999755859375,703.9500122070312,692.3499755859375,694.9000244140625,2407071
2025-12-26,692.8499755859375,696.5499877929688,689.0499877929688,695.0,1226524
2025-12-29,695.0999755859375,697.5,686.2999877929688,688.75,1236240
2025-12-30,685.5499877929688,686.7000122070312,676.2000122070312,680.6500244140625,1717351
2025-12-31,680.6500244140625,692.5499877929688,680.0999755859375,687.4000244140625,1781196
2026-01-01,690.2000122070312,693.8499755859375,681.9500122070312,691.4000244140625,1564403
2026-01-02,692.6500244140625,707.4500122070312,692.6500244140625,698.2000122070312,4064871
2026-01-05,702.0,713.7999877929688,696.4500122070312,711.3499755859375,4016984
2026-01-06,715.0,715.0,702.75,706.2999877929688,2417169
2026-01-07,705.0,706.0,693.0,703.25,2701653
2026-01-08,703.1500244140625,713.75,690.0,692.4000244140625,3614003
2026-01-09,692.5999755859375,693.75,666.5999755859375,670.9000244140625,3796350
2026-01-12,668.0,668.0,648.75,659.6500244140625,4901801
2026-01-13,660.0,665.25,641.0499877929688,652.4000244140625,8029667
2026-01-14,652.0,654.4500122070312,642.2999877929688,651.0499877929688,7138253
2026-01-15,651.0499877929688,651.0499877929688,651.0499877929688,651.0499877929688,0
2026-01-16,654.5,666.2000122070312,646.0499877929688,649.8499755859375,5189752
2026-01-19,649.0,651.8499755859375,636.6500244140625,641.8499755859375,2279973
2026-01-20,640.0,640.8499755859375,608.8499755859375,612.9000244140625,7084565
2026-01-21,615.0,622.9000244140625,607.5,617.6500244140625,5619055
2026-01-22,625.2999877929688,625.5499877929688,607.0999755859375,613.2999877929688,7416397
2026-01-23,620.0,622.0,586.6500244140625,588.4500122070312,10792256
