date,close
2026-05-12 00:00:00+05:30,268.1099853515625
2026-05-13 00:00:00+05:30,266.0199890136719
2026-05-14 00:00:00+05:30,267.6199951171875
2026-05-15 00:00:00+05:30,267.70001220703125
2026-05-18 00:00:00+05:30,263.17999267578125
2026-05-19 00:00:00+05:30,264.0899963378906
2026-05-20 00:00:00+05:30,266.4100036621094
2026-05-21 00:00:00+05:30,267.260009765625
2026-05-22 00:00:00+05:30,267.1199951171875
2026-05-25 00:00:00+05:30,271.45001220703125
2026-05-26 00:00:00+05:30,271.5799865722656
2026-05-27 00:00:00+05:30,276.04998779296875
2026-05-28 00:00:00+05:30,276.04998779296875
2026-05-29 00:00:00+05:30,271.30999755859375
2026-06-01 00:00:00+05:30,266.7799987792969
2026-06-02 00:00:00+05:30,268.4800109863281
2026-06-03 00:00:00+05:30,268.8800048828125
2026-06-04 00:00:00+05:30,269.3900146484375
2026-06-05 00:00:00+05:30,269.6499938964844
2026-06-08 00:00:00+05:30,264.760009765625
2026-06-09 00:00:00+05:30,267.67999267578125
2026-06-10 00:00:00+05:30,265.7799987792969
2026-06-11 00:00:00+05:30,265.3800048828125
2026-06-12 00:00:00+05:30,270.6300048828125
2026-06-15 00:00:00+05:30,277.69000244140625
2026-06-16 00:00:00+05:30,277.0
2026-06-17 00:00:00+05:30,275.4599914550781
2026-06-18 00:00:00+05:30,275.989990234375
2026-06-19 00:00:00+05:30,274.19000244140625
2026-06-22 00:00:00+05:30,275.1600036621094
2026-06-23 00:00:00+05:30,272.9200134277344
2026-06-24 00:00:00+05:30,271.82000732421875
2026-06-25 00:00:00+05:30,277.2699890136719
2026-06-26 00:00:00+05:30,277.2699890136719
2026-06-29 00:00:00+05:30,272.69000244140625
2026-06-30 00:00:00+05:30,273.04998779296875
2026-07-01 00:00:00+05:30,276.0899963378906
2026-07-02 00:00:00+05:30,278.70001220703125
2026-07-03 00:00:00+05:30,278.2699890136719
2026-07-06 00:00:00+05:30,281.9700012207031
2026-07-07 00:00:00+05:30,281.9100036621094
2026-07-08 00:00:00+05:30,275.55999755859375
2026-07-09 00:00:00+05:30,275.260009765625
2026-07-10 00:00:00+05:30,277.3800048828125
2026-07-13 00:00:00+05:30,278.8500061035156
2026-07-14 00:00:00+05:30,274.5199890136719
2026-07-15 00:00:00+05:30,275.3699951171875
2026-07-16 00:00:00+05:30,276.1099853515625
2026-07-17 00:00:00+05:30,279.4599914550781
2026-07-20 00:00:00+05:30,279.0
2026-07-21 00:00:00+05:30,281.5
2026-07-22 00:00:00+05:30,281.82000732421875
2026-07-23 00:00:00+05:30,283.70001220703125
2026-07-24 00:00:00+05:30,281.17999267578125
2026-07-27 00:00:00+05:30,285.239990234375
2026-07-28 00:00:00+05:30,287.3699951171875
2026-07-29 00:00:00+05:30,287.3800048828125
2026-07-30 00:00:00+05:30,291.7900085449219
2026-07-31 00:00:00+05:30,297.1300048828125
2026-08-03 00:00:00+05:30,299.32000732421875
2026-08-04 00:00:00+05:30,300.010009765625
2026-08-05 00:00:00+05:30,303.2300109863281
2026-08-06 00:00:00+05:30,301.2099914550781
2026-08-07 00:00:00+05:30,307.42999267578125
2026-08-10 00:00:00+05:30,307.2099914550781
2026-08-12 00:00:00+05:30,304.2200012207031
