date,close,ret_1,ret_3,ret_5,ret_10,ret_20,rsi14,sma20,sma50,adx,atr_pct,above_sma50,dist_sma50_pct,vol_20,dow,fii_net,fii_net_5d,dii_net,dii_net_5d,fii_fut_net,pcr,sentiment,target_up
2024-08-08,24117.0,,,,,,50.0,,,,,0,,,3,,,,,,,,1
2024-08-09,24367.5,1.0386864037815746,,,,,50.0,,,,,0,,,4,,,,,,,,0
2024-08-12,24347.0,-0.08412844977941925,,,,,50.0,,,,,0,,,0,,,,,,,,0
2024-08-13,24139.0,-0.8543146999630324,0.09122195961355217,,,,50.0,,,,,0,,,1,,,,,,,,1
2024-08-14,24143.75,0.019677699987563635,-0.9182312506412216,,,,50.0,,,,,0,,,2,,,,,,,,1
2024-08-16,24541.150390625,1.6459762490292462,0.7974304457428083,1.75871953653024,,,50.0,,,,,0,,,4,,,,,,,,1
2024-08-19,24572.650390625,0.12835584110202358,1.7964720602551942,0.8419016748743235,,,50.0,,,,,0,,,0,,,,,,,,1
2024-08-20,24698.849609375,0.5135759339910173,2.2991441237380172,1.4451456416601616,,,50.0,,,,,0,,,1,,,,,,,,1
2024-08-21,24770.19921875,0.28887826964991703,0.9333255551561281,2.614852391358391,,,50.0,,,,,0,,,2,,,,,,,,1
2024-08-22,24811.5,0.1667357653657442,0.9720140301435531,2.765726119596179,,,50.0,,,,,0,,,3,,,,,,,,1
2024-08-23,24823.150390625,0.046955607782672715,0.5032654686994764,1.149090387008611,2.9280192006675865,,50.0,,,,,0,,,4,,,,,,,,1
2024-08-26,25010.599609375,0.7551387144671073,0.9705226369072895,1.7822628482806468,2.6391694239253027,,50.0,,,,,0,,,0,,,,,,,,1
2024-08-27,25017.75,0.02858944102370753,0.8312677589021211,1.291154833802266,2.754959543270208,,50.0,,,,,0,,,1,,,,,,,,1
2024-08-28,25052.349609375,0.138300244326528,0.92332848628498,1.1390719474368316,3.7837093888520634,,50.0,,,,0.8225513267552298,0,,,2,,,,,,,,1
2024-08-29,25151.94921875,0.397565940632294,0.5651588189913515,1.3721428319529272,4.175818664250586,,95.23442760970647,,,,0.8159805056612802,0,,,3,,,,,,,,1
2024-08-30,25235.900390625,0.3337760073577778,0.8719824549569877,1.6627623549180237,2.830959384305798,,95.43037713384567,,,,0.788121960882626,0,,,4,,,,,,,,1
2024-09-02,25278.69921875,0.1695950113232314,0.9035065089874728,1.071943950014309,2.8733116570704764,,95.53125695955443,,,,0.7583222867561682,0,,,0,,,,,,,,1
2024-09-03,25279.849609375,0.004550829989491412,0.5085108494480295,1.0476546027320621,2.3523362795790703,,95.53411080235738,,,,0.7283950902302507,0,,,1,,,,,,,,0
2024-09-04,25198.69921875,-0.3210082017058524,-0.14741368962138957,0.5841751837928788,1.7299013068721836,,91.11374193216548,,,,0.7341173190506723,0,,,2,,,,,,,,0
2024-09-05,25145.099609375,-0.21270784221717465,-0.5285066617506384,-0.02723291668342842,1.3445362407553008,,88.21054662780486,24785.13232421875,,,0.7250897093917295,0,,1.5957789684520847,3,,,,,,,,0
2024-09-06,24852.150390625,-1.1650350298901935,-1.6918582402934423,-1.5206511123437516,0.11682642832857582,3.048266329249083,74.2796891181068,24821.88984375,,,0.7868442717689182,0,,1.485697449051011,4,,,,,,,,1
2024-09-09,24936.400390625,0.3390048695012693,-1.0409220962081522,-1.3540998496912593,-0.2966710910928594,2.3346686801066996,75.4790684233484,24850.33486328125,,,0.7867070825988006,0,,1.419524969706161,0,,,,,,,,1
2024-09-10,25041.099609375,0.41986500501236534,-0.4135994751089611,-0.9444280867535682,0.09333217165812258,2.8508629784983697,76.91947231494936,24885.03984375,,,0.7941209869305249,0,,1.3401186065937423,1,,,,,,,,0
2024-09-11,24918.44921875,-0.4897963449619458,0.2667730038766081,-1.1121605824457426,-0.5344823647794428,3.2290037646547143,71.6125055537149,24924.0123046875,,,0.806540957165513,0,,1.1476368960642764,2,,,,,,,,1
2024-09-12,25388.900390625,1.887963282727112,1.8146163556554074,0.9695757226553248,0.9420787622231641,5.157236927258602,77.9085140190688,24986.26982421875,,,0.879914289715162,0,,0.9406302899300772,3,,,,,,,,0
2024-09-13,25356.5,-0.12761636040355961,1.2595309133586197,2.0294002790408605,0.4778890687799686,3.322377298524981,76.6476808234007,25027.0373046875,,,0.856995837712098,0,,0.8999189427962245,4,,,,,,,,1
