expiry,strike,ce_oi,ce_oi_chg,ce_pct_chg,ce_volume,ce_iv,ce_ltp,ce_buy_qty,ce_sell_qty,pe_oi,pe_oi_chg,pe_pct_chg,pe_volume,pe_iv,pe_ltp,pe_buy_qty,pe_sell_qty
11-Aug-2026,21600,7,0,0.0,4,121.98,2891.5,4225,4160,21829,-13928,-38.95181363089745,59006,68.47,0.05,0,426725
11-Aug-2026,21650,0,0,0.0,0,0.0,0.0,3380,3380,1148,-241,-17.350611951043916,2507,67.29,0.05,0,15275
11-Aug-2026,21700,0,0,0.0,0,0.0,0.0,3380,3380,2279,-1079,-32.13222156045265,5807,66.1,0.05,0,20085
11-Aug-2026,21750,0,0,0.0,0,0.0,0.0,4225,4160,1138,211,22.761596548004317,1402,64.92,0.05,0,13780
11-Aug-2026,21800,0,0,0.0,0,0.0,0.0,3380,3380,2523,105,4.3424317617866,6347,63.74,0.05,0,57265
11-Aug-2026,21850,0,0,0.0,0,0.0,0.0,3380,3380,505,-71,-12.32638888888889,624,62.56,0.05,0,24505
11-Aug-2026,21900,0,0,0.0,0,0.0,0.0,3380,3380,1266,-56,-4.236006051437216,2127,61.38,0.05,0,38675
11-Aug-2026,21950,0,0,0.0,0,0.0,0.0,3380,3380,721,104,16.85575364667747,949,60.2,0.05,0,19825
11-Aug-2026,22000,63,-9,-12.5,34,0.0,2468.05,3705,5135,5912,-4283,-42.01078960274644,20937,59.03,0.05,0,18200
11-Aug-2026,22050,0,0,0.0,0,0.0,0.0,4225,4160,629,48,8.261617900172118,1182,60.79,0.1,0,17485
11-Aug-2026,22100,0,0,0.0,0,0.0,0.0,4225,4160,1708,-510,-22.993688007213706,5828,56.68,0.05,0,37245
11-Aug-2026,22150,0,0,0.0,0,0.0,0.0,3380,3380,1378,99,7.740422204847537,5373,55.51,0.05,0,23205
11-Aug-2026,22200,0,0,0.0,0,0.0,0.0,4225,3380,1800,-698,-27.942353883106485,6058,54.34,0.05,0,45695
11-Aug-2026,22250,0,0,0.0,0,0.0,0.0,4225,3380,551,182,49.32249322493225,1477,53.17,0.05,0,20215
11-Aug-2026,22300,0,0,0.0,0,0.0,0.0,4225,3380,2069,-693,-25.09051412020275,8849,52.0,0.05,0,26585
11-Aug-2026,22350,0,0,0.0,0,0.0,0.0,4225,3380,614,-203,-24.84700122399021,2073,50.83,0.05,0,14300
11-Aug-2026,22400,0,0,0.0,0,0.0,0.0,4225,3380,1827,-1868,-50.554803788903925,7477,49.66,0.05,0,37440
11-Aug-2026,22450,0,0,0.0,0,0.0,0.0,4225,3380,729,-268,-26.880641925777333,2006,48.5,0.05,0,18720
11-Aug-2026,22500,27,-5,-15.625,13,66.7,1980.0,4225,4680,8444,-7071,-45.57524975829842,28316,47.33,0.05,0,50440
11-Aug-2026,22550,0,0,0.0,0,0.0,0.0,4225,3380,1121,-206,-15.523737754333082,5175,46.17,0.05,0,40560
