expiry,strike,ce_oi,ce_oi_chg,ce_pct_chg,ce_volume,ce_iv,ce_ltp,ce_buy_qty,ce_sell_qty,pe_oi,pe_oi_chg,pe_pct_chg,pe_volume,pe_iv,pe_ltp,pe_buy_qty,pe_sell_qty
11-Aug-2026,21600,7,-1,-12.5,2,0.0,2965.15,3965,4225,44659,-4893,-9.874475298676138,67076,40.55,0.3,2396550,1013285
11-Aug-2026,21650,0,0,0.0,0,0.0,0.0,4160,4160,1613,429,36.233108108108105,3347,40.41,0.35,249405,33475
11-Aug-2026,21700,0,0,0.0,0,0.0,0.0,4160,4160,4067,59,1.4720558882235528,4545,39.74,0.35,540865,50310
11-Aug-2026,21750,0,0,0.0,0,0.0,0.0,4940,4940,780,191,32.42784380305603,975,39.52,0.4,290615,36595
11-Aug-2026,21800,0,0,0.0,0,0.0,0.0,4160,4160,2795,-336,-10.731395720217183,5384,38.84,0.4,608335,40950
11-Aug-2026,21850,0,0,0.0,0,0.0,0.0,4160,4160,537,81,17.763157894736842,493,38.16,0.4,274365,48295
11-Aug-2026,21900,0,0,0.0,0,0.0,0.0,4160,4160,1615,-589,-26.724137931034484,4206,37.49,0.4,436605,21775
11-Aug-2026,21950,0,0,0.0,0,0.0,0.0,4160,4160,979,268,37.69338959212377,2630,36.81,0.4,211575,24050
11-Aug-2026,22000,120,38,46.34146341463415,67,0.0,2579.5,5525,4940,17681,-1784,-9.165168250706396,34228,36.52,0.45,1024660,264225
11-Aug-2026,22050,0,0,0.0,0,0.0,0.0,4160,4160,597,140,30.63457330415755,1003,36.19,0.5,95030,17940
11-Aug-2026,22100,0,0,0.0,0,0.0,0.0,4940,4940,3051,-1286,-29.651833064330184,12184,35.16,0.45,110305,25805
11-Aug-2026,22150,0,0,0.0,0,0.0,0.0,4160,4160,1157,136,13.320274240940254,2894,34.82,0.5,81510,17810
11-Aug-2026,22200,0,0,0.0,0,0.0,0.0,4160,4160,4694,-1118,-19.236063317274603,14133,34.13,0.5,239655,40235
11-Aug-2026,22250,0,0,0.0,0,0.0,0.0,4160,4160,580,-19,-3.1719532554257097,1327,34.03,0.6,115245,13520
11-Aug-2026,22300,0,0,0.0,0,0.0,0.0,4160,4160,4347,-1197,-21.59090909090909,14027,32.76,0.5,72735,16835
11-Aug-2026,22350,0,0,0.0,0,0.0,0.0,4160,4160,977,153,18.567961165048544,3840,32.64,0.6,93665,16445
11-Aug-2026,22400,0,0,0.0,0,0.0,0.0,4160,4160,7044,2128,43.287225386493084,18932,31.95,0.6,115635,18135
11-Aug-2026,22450,0,0,0.0,0,0.0,0.0,4160,4160,922,50,5.73394495412844,3710,31.5,0.65,73645,32305
11-Aug-2026,22500,35,0,0.0,0,0.0,2140.0,5070,4940,30425,-9732,-24.234878103443982,87374,30.56,0.6,844675,202280
11-Aug-2026,22550,0,0,0.0,0,0.0,0.0,4940,4940,1590,558,54.06976744186046,10784,30.33,0.7,79365,6825
11-Aug-2026,22600,0,0,0.0,0,0.0,0.0,4940,4940,7221,1107,18.105986261040236,14414,29.41,0.65,177515,22490
11-Aug-2026,22650,0,0,0.0,0,0.0,0.0,4160,4160,2150,536,33.2094175960347,10587,27.99,0.5,81250,11375
11-Aug-2026,22700,0,0,0.0,0,0.0,0.0,4160,4160,4964,-873,-14.95631317457598,14224,28.43,0.75,81380,22100
11-Aug-2026,22750,0,0,0.0,0,0.0,0.0,4160,4160,2992,-51,-1.675977653631285,12167,27.91,0.8,86255,10530
11-Aug-2026,22800,56,0,0.0,0,0.0,1690.0,5070,4940,9733,-147,-1.4878542510121457,28530,27.54,0.9,76635,63895
11-Aug-2026,22850,0,0,0.0,0,0.0,0.0,4940,4940,2623,765,41.17330462863294,16579,25.73,0.6,50050,18200
11-Aug-2026,22900,3,-1,-25.0,1,51.98,1752.7,4290,5070,11972,-1347,-10.113371874765372,38358,26.11,0.9,71110,93600
11-Aug-2026,22950,0,0,0.0,0,0.0,0.0,4940,4940,2095,282,15.554329840044126,11105,25.54,0.95,62335,38480
11-Aug-2026,23000,796,-72,-8.294930875576037,120,36.4,1610.05,6760,5265,81650,11550,16.476462196861625,173649,24.96,1.0,430950,452660
11-Aug-2026,23050,0,0,0.0,0,0.0,0.0,4940,4940,2890,553,23.662815575524178,18910,24.24,1.0,71760,17940
